Year,,"Qəbul edilmiş və göndərilmiş turistlər, cəm (nəfər)",Qəbul edilmiş (nəfər),Göndərilmiş (nəfər)
2024,,100777.0,11572.0,89205.0
2023,,50345.0,11232.0,39113.0
2022,,31801.0,9493.0,22308.0
2021,,16324.0,1848.0,14476.0
2020,,8205.0,2304.0,5901.0
2019,,99507.0,30950.0,68557.0
2018,,83722.0,12777.0,70945.0
2017,,77587.0,13455.0,64132.0
2016,,63543.0,8949.0,54594.0
2015,,73527.0,2009.0,71518.0
2014,,101406.0,10657.0,90749.0
2013,,104764.0,10605.0,94159.0
2012,,101431.0,23440.0,77991.0
2011,,83620.0,18840.0,64780.0
2010,,69923.0,17641.0,52282.0
2009,,59700.0,17009.0,42691.0
2008,,59607.0,19288.0,40319.0
2007,,56290.0,12356.0,43934.0
2006,,45605.0,14472.0,31133.0
2005,,40008.0,16858.0,23150.0
2004,,29382.0,11592.0,17790.0
2003,,24641.0,12105.0,12536.0
2002,,15524.0,4753.0,10771.0
2001,,11679.0,820.0,10859.0
